index	wnid	synset	name	lemmas
391	n02536864	coho.n.02	coho	coho, cohoe, coho salmon, blue jack, silver salmon, Oncorhynchus kisutch
392	n02606052	rock_beauty.n.01	rock beauty	rock beauty, Holocanthus tricolor
393	n02607072	anemone_fish.n.01	anemone fish	anemone fish
394	n02640242	sturgeon.n.01	sturgeon	sturgeon
395	n02641379	gar.n.01	gar	gar, garfish, garpike, billfish, Lepisosteus osseus
396	n02643566	lionfish.n.01	lionfish	lionfish
397	n02655020	puffer.n.02	puffer	puffer, pufferfish, blowfish, globefish
398	n02666196	abacus.n.02	abacus	abacus
399	n02667093	abaya.n.01	abaya	abaya
400	n02669723	academic_gown.n.01	academic gown	academic gown, academic robe, judge's robe
401	n02672831	accordion.n.01	accordion	accordion, piano accordion, squeeze box
402	n02676566	acoustic_guitar.n.01	acoustic guitar	acoustic guitar
403	n02687172	aircraft_carrier.n.01	aircraft carrier	aircraft carrier, carrier, flattop, attack aircraft carrier
404	n02690373	airliner.n.01	airliner	airliner
405	n02692877	airship.n.01	airship	airship, dirigible
406	n02699494	altar.n.02	altar	altar
407	n02701002	ambulance.n.01	ambulance	ambulance
408	n02704792	amphibian.n.01	amphibian	amphibian, amphibious vehicle
409	n02708093	analog_clock.n.01	analog clock	analog clock
410	n02727426	apiary.n.01	apiary	apiary, bee house
411	n02730930	apron.n.01	apron	apron
412	n02747177	ashcan.n.01	ashcan	ashcan, trash can, garbage can, wastebin, ash bin, ash-bin, ashbin, dustbin, trash barrel, trash bin
413	n02749479	assault_rifle.n.01	assault rifle	assault rifle, assault gun
414	n02769748	backpack.n.01	backpack	backpack, back pack, knapsack, packsack, rucksack, haversack
415	n02776631	bakery.n.01	bakery	bakery, bakeshop, bakehouse
416	n02777292	balance_beam.n.01	balance beam	balance beam, beam
417	n02782093	balloon.n.01	balloon	balloon
418	n02783161	ballpoint.n.01	ballpoint	ballpoint, ballpoint pen, ballpen, Biro
419	n02786058	band_aid.n.01	Band Aid	Band Aid
420	n02787622	banjo.n.01	banjo	banjo
421	n02788148	bannister.n.02	bannister	bannister, banister, balustrade, balusters, handrail
422	n02790996	barbell.n.01	barbell	barbell
423	n02791124	barber_chair.n.01	barber chair	barber chair
424	n02791270	barbershop.n.01	barbershop	barbershop
425	n02793495	barn.n.01	barn	barn
426	n02794156	barometer.n.01	barometer	barometer
427	n02795169	barrel.n.02	barrel	barrel, cask
428	n02797295	barrow.n.03	barrow	barrow, garden cart, lawn cart, wheelbarrow
429	n02799071	baseball.n.02	baseball	baseball
430	n02802426	basketball.n.02	basketball	basketball
431	n02804414	bassinet.n.01	bassinet	bassinet
432	n02804610	bassoon.n.01	bassoon	bassoon
433	n02807133	bathing_cap.n.01	bathing cap	bathing cap, swimming cap
434	n02808304	bath_towel.n.01	bath towel	bath towel
435	n02808440	bathtub.n.01	bathtub	bathtub, bathing tub, bath, tub
436	n02814533	beach_wagon.n.01	beach wagon	beach wagon, station wagon, wagon, estate car, beach waggon, station waggon, waggon
437	n02814860	beacon.n.03	beacon	beacon, lighthouse, beacon light, pharos
438	n02815834	beaker.n.01	beaker	beaker
439	n02817516	bearskin.n.02	bearskin	bearskin, busby, shako
440	n02823428	beer_bottle.n.01	beer bottle	beer bottle
441	n02823750	beer_glass.n.01	beer glass	beer glass
442	n02825657	bell_cote.n.01	bell cote	bell cote, bell cot
443	n02834397	bib.n.01	bib	bib
444	n02835271	bicycle-built-for-two.n.01	bicycle-built-for-two	bicycle-built-for-two, tandem bicycle, tandem
445	n02837789	bikini.n.02	bikini	bikini, two-piece
446	n02840245	binder.n.03	binder	binder, ring-binder
447	n02841315	binoculars.n.01	binoculars	binoculars, field glasses, opera glasses
448	n02843684	birdhouse.n.01	birdhouse	birdhouse
449	n02859443	boathouse.n.01	boathouse	boathouse
450	n02860847	bobsled.n.02	bobsled	bobsled, bobsleigh, bob
451	n02865351	bolo_tie.n.01	bolo tie	bolo tie, bolo, bola tie, bola
452	n02869837	bonnet.n.01	bonnet	bonnet, poke bonnet
453	n02870880	bookcase.n.01	bookcase	bookcase
454	n02871525	bookshop.n.01	bookshop	bookshop, bookstore, bookstall
455	n02877765	bottlecap.n.01	bottlecap	bottlecap
456	n02879718	bow.n.04	bow	bow
457	n02883205	bow_tie.n.01	bow tie	bow tie, bow-tie, bowtie
458	n02892201	brass.n.07	brass	brass, memorial tablet, plaque
459	n02892767	brassiere.n.01	brassiere	brassiere, bra, bandeau
460	n02894605	breakwater.n.01	breakwater	breakwater, groin, groyne, mole, bulwark, seawall, jetty
461	n02895154	breastplate.n.01	breastplate	breastplate, aegis, egis
462	n02906734	broom.n.01	broom	broom
463	n02909870	bucket.n.01	bucket	bucket, pail
464	n02910353	buckle.n.01	buckle	buckle
465	n02916936	bulletproof_vest.n.01	bulletproof vest	bulletproof vest
466	n02917067	bullet_train.n.01	bullet train	bullet train, bullet
467	n02927161	butcher_shop.n.01	butcher shop	butcher shop, meat market
468	n02930766	cab.n.03	cab	cab, hack, taxi, taxicab
469	n02939185	caldron.n.01	caldron	caldron, cauldron
470	n02948072	candle.n.01	candle	candle, taper, wax light
471	n02950826	cannon.n.02	cannon	cannon
472	n02951358	canoe.n.01	canoe	canoe
473	n02951585	can_opener.n.01	can opener	can opener, tin opener
474	n02963159	cardigan.n.01	cardigan	cardigan
475	n02965783	car_mirror.n.01	car mirror	car mirror
476	n02966193	carousel.n.02	carousel	carousel, carrousel, merry-go-round, roundabout, whirligig
477	n02966687	carpenter's_kit.n.01	carpenter's kit	carpenter's kit, tool kit
478	n02971356	carton.n.02	carton	carton
479	n02974003	car_wheel.n.01	car wheel	car wheel
480	n02977058	cash_machine.n.01	cash machine	cash machine, cash dispenser, automated teller machine, automatic teller machine, automated teller, automatic teller, ATM
481	n02978881	cassette.n.01	cassette	cassette
482	n02979186	cassette_player.n.01	cassette player	cassette player
483	n02980441	castle.n.02	castle	castle
484	n02981792	catamaran.n.01	catamaran	catamaran
485	n02988304	cd_player.n.01	CD player	CD player
486	n02992211	cello.n.01	cello	cello, violoncello
487	n02992529	cellular_telephone.n.01	cellular telephone	cellular telephone, cellular phone, cellphone, cell, mobile phone
488	n02999410	chain.n.03	chain	chain
489	n03000134	chainlink_fence.n.01	chainlink fence	chainlink fence
490	n03000247	chain_mail.n.01	chain mail	chain mail, ring mail, mail, chain armor, chain armour, ring armor, ring armour
491	n03000684	chain_saw.n.01	chain saw	chain saw, chainsaw
492	n03014705	chest.n.02	chest	chest
493	n03016953	chiffonier.n.01	chiffonier	chiffonier, commode
494	n03017168	chime.n.01	chime	chime, bell, gong
495	n03018349	china_cabinet.n.01	china cabinet	china cabinet, china closet
496	n03026506	christmas_stocking.n.01	Christmas stocking	Christmas stocking
497	n03028079	church.n.02	church	church, church building
498	n03032252	cinema.n.02	cinema	cinema, movie theater, movie theatre, movie house, picture palace
499	n03041632	cleaver.n.01	cleaver	cleaver, meat cleaver, chopper
500	n03042490	cliff_dwelling.n.01	cliff dwelling	cliff dwelling
501	n03045698	cloak.n.01	cloak	cloak
502	n03047690	clog.n.01	clog	clog, geta, patten, sabot
503	n03062245	cocktail_shaker.n.01	cocktail shaker	cocktail shaker
504	n03063599	coffee_mug.n.01	coffee mug	coffee mug
505	n03063689	coffeepot.n.01	coffeepot	coffeepot
506	n03065424	coil.n.01	coil	coil, spiral, volute, whorl, helix
507	n03075370	combination_lock.n.01	combination lock	combination lock
508	n03085013	computer_keyboard.n.01	computer keyboard	computer keyboard, keypad
509	n03089624	confectionery.n.02	confectionery	confectionery, confectionary, candy store
510	n03095699	container_ship.n.01	container ship	container ship, containership, container vessel
511	n03100240	convertible.n.01	convertible	convertible
512	n03109150	corkscrew.n.01	corkscrew	corkscrew, bottle screw
513	n03110669	cornet.n.01	cornet	cornet, horn, trumpet, trump
514	n03124043	cowboy_boot.n.01	cowboy boot	cowboy boot
515	n03124170	cowboy_hat.n.01	cowboy hat	cowboy hat, ten-gallon hat
516	n03125729	cradle.n.01	cradle	cradle
517	n03126707	crane.n.04	crane (lifting device)	crane
518	n03127747	crash_helmet.n.01	crash helmet	crash helmet
519	n03127925	crate.n.01	crate	crate
520	n03131574	crib.n.01	crib	crib, cot
521	n03133878	crock_pot.n.01	Crock Pot	Crock Pot
522	n03134739	croquet_ball.n.01	croquet ball	croquet ball
523	n03141823	crutch.n.01	crutch	crutch
524	n03146219	cuirass.n.01	cuirass	cuirass
525	n03160309	dam.n.01	dam	dam, dike, dyke
526	n03179701	desk.n.01	desk	desk
527	n03180011	desktop_computer.n.01	desktop computer	desktop computer
528	n03187595	dial_telephone.n.01	dial telephone	dial telephone, dial phone
529	n03188531	diaper.n.01	diaper	diaper, nappy, napkin
530	n03196217	digital_clock.n.01	digital clock	digital clock
531	n03197337	digital_watch.n.01	digital watch	digital watch
532	n03201208	dining_table.n.01	dining table	dining table, board
533	n03207743	dishrag.n.01	dishrag	dishrag, dishcloth
534	n03207941	dishwasher.n.01	dishwasher	dishwasher, dish washer, dishwashing machine
535	n03208938	disk_brake.n.01	disk brake	disk brake, disc brake
536	n03216828	dock.n.05	dock	dock, dockage, docking facility
537	n03218198	dogsled.n.01	dogsled	dogsled, dog sled, dog sleigh
538	n03220513	dome.n.04	dome	dome
539	n03223299	doormat.n.02	doormat	doormat, welcome mat
540	n03240683	drilling_platform.n.01	drilling platform	drilling platform, offshore rig
541	n03249569	drum.n.01	drum	drum, membranophone, tympan
542	n03250847	drumstick.n.02	drumstick	drumstick
543	n03255030	dumbbell.n.01	dumbbell	dumbbell
544	n03259280	dutch_oven.n.01	Dutch oven	Dutch oven
545	n03271574	electric_fan.n.01	electric fan	electric fan, blower
546	n03272010	electric_guitar.n.01	electric guitar	electric guitar
547	n03272562	electric_locomotive.n.01	electric locomotive	electric locomotive
548	n03290653	entertainment_center.n.01	entertainment center	entertainment center
549	n03291819	envelope.n.01	envelope	envelope
550	n03297495	espresso_maker.n.01	espresso maker	espresso maker
551	n03314780	face_powder.n.01	face powder	face powder
552	n03325584	feather_boa.n.01	feather boa	feather boa, boa
553	n03337140	file.n.03	file	file, file cabinet, filing cabinet
554	n03344393	fireboat.n.01	fireboat	fireboat
555	n03345487	fire_engine.n.01	fire engine	fire engine, fire truck
556	n03347037	fire_screen.n.01	fire screen	fire screen, fireguard
557	n03355925	flagpole.n.02	flagpole	flagpole, flagstaff
558	n03372029	flute.n.01	flute	flute, transverse flute
559	n03376595	folding_chair.n.01	folding chair	folding chair
560	n03379051	football_helmet.n.01	football helmet	football helmet
561	n03384352	forklift.n.01	forklift	forklift
562	n03388043	fountain.n.01	fountain	fountain
563	n03388183	fountain_pen.n.01	fountain pen	fountain pen
564	n03388549	four-poster.n.01	four-poster	four-poster
565	n03393912	freight_car.n.01	freight car	freight car
566	n03394916	french_horn.n.01	French horn	French horn, horn
567	n03400231	frying_pan.n.01	frying pan	frying pan, frypan, skillet
568	n03404251	fur_coat.n.01	fur coat	fur coat
569	n03417042	garbage_truck.n.01	garbage truck	garbage truck, dustcart
570	n03424325	gasmask.n.01	gasmask	gasmask, respirator, gas helmet
571	n03425413	gas_pump.n.01	gas pump	gas pump, gasoline pump, petrol pump, island dispenser
572	n03443371	goblet.n.01	goblet	goblet
573	n03444034	go-kart.n.01	go-kart	go-kart
574	n03445777	golf_ball.n.01	golf ball	golf ball
575	n03445924	golfcart.n.01	golfcart	golfcart, golf cart
576	n03447447	gondola.n.02	gondola	gondola
577	n03447721	gong.n.01	gong	gong, tam-tam
578	n03450230	gown.n.01	gown	gown
579	n03452741	grand_piano.n.01	grand piano	grand piano, grand
580	n03457902	greenhouse.n.01	greenhouse	greenhouse, nursery, glasshouse
581	n03459775	grille.n.02	grille	grille, radiator grille
582	n03461385	grocery_store.n.01	grocery store	grocery store, grocery, food market, market
583	n03467068	guillotine.n.02	guillotine	guillotine
584	n03476684	hair_slide.n.01	hair slide	hair slide
585	n03476991	hair_spray.n.01	hair spray	hair spray
586	n03478589	half_track.n.01	half track	half track
587	n03481172	hammer.n.02	hammer	hammer
588	n03482405	hamper.n.02	hamper	hamper
589	n03483316	hand_blower.n.01	hand blower	hand blower, blow dryer, blow drier, hair dryer, hair drier
590	n03485407	hand-held_computer.n.01	hand-held computer	hand-held computer, hand-held microcomputer
591	n03485794	handkerchief.n.01	handkerchief	handkerchief, hankie, hanky, hankey
592	n03492542	hard_disc.n.01	hard disc	hard disc, hard disk, fixed disk
593	n03494278	harmonica.n.01	harmonica	harmonica, mouth organ, harp, mouth harp
594	n03495258	harp.n.01	harp	harp
595	n03496892	harvester.n.02	harvester	harvester, reaper
596	n03498962	hatchet.n.02	hatchet	hatchet
597	n03527444	holster.n.01	holster	holster
598	n03529860	home_theater.n.01	home theater	home theater, home theatre
599	n03530642	honeycomb.n.02	honeycomb	honeycomb
600	n03532672	hook.n.04	hook	hook, claw
601	n03534580	hoopskirt.n.01	hoopskirt	hoopskirt, crinoline
602	n03535780	horizontal_bar.n.01	horizontal bar	horizontal bar, high bar
603	n03538406	horse_cart.n.01	horse cart	horse cart, horse-cart
604	n03544143	hourglass.n.01	hourglass	hourglass
605	n03584254	ipod.n.01	iPod	iPod
606	n03584829	iron.n.04	iron	iron, smoothing iron
607	n03590841	jack-o'-lantern.n.02	jack-o'-lantern	jack-o'-lantern
608	n03594734	jean.n.01	jean	jean, blue jean, denim
609	n03594945	jeep.n.01	jeep	jeep, landrover
610	n03595614	jersey.n.03	jersey	jersey, T-shirt, tee shirt
611	n03598930	jigsaw_puzzle.n.01	jigsaw puzzle	jigsaw puzzle
612	n03599486	jinrikisha.n.01	jinrikisha	jinrikisha, ricksha, rickshaw
613	n03602883	joystick.n.02	joystick	joystick
614	n03617480	kimono.n.01	kimono	kimono
615	n03623198	knee_pad.n.01	knee pad	knee pad
616	n03627232	knot.n.02	knot	knot
617	n03630383	lab_coat.n.01	lab coat	lab coat, laboratory coat
618	n03633091	ladle.n.01	ladle	ladle
619	n03637318	lampshade.n.01	lampshade	lampshade, lamp shade
620	n03642806	laptop.n.01	laptop	laptop, laptop computer
621	n03649909	lawn_mower.n.01	lawn mower	lawn mower, mower
622	n03657121	lens_cap.n.01	lens cap	lens cap, lens cover
623	n03658185	letter_opener.n.01	letter opener	letter opener, paper knife, paperknife
624	n03661043	library.n.05	library	library
625	n03662601	lifeboat.n.01	lifeboat	lifeboat
626	n03666591	lighter.n.02	lighter	lighter, light, igniter, ignitor
627	n03670208	limousine.n.01	limousine	limousine, limo
628	n03673027	liner.n.04	liner	liner, ocean liner
629	n03676483	lipstick.n.01	lipstick	lipstick, lip rouge
630	n03680355	loafer.n.02	Loafer	Loafer
631	n03690938	lotion.n.01	lotion	lotion
632	n03691459	loudspeaker.n.01	loudspeaker	loudspeaker, speaker, speaker unit, loudspeaker system, speaker system
633	n03692522	loupe.n.01	loupe	loupe, jeweler's loupe
634	n03697007	lumbermill.n.01	lumbermill	lumbermill, sawmill
635	n03706229	magnetic_compass.n.01	magnetic compass	magnetic compass
636	n03709823	mailbag.n.02	mailbag	mailbag, postbag
637	n03710193	mailbox.n.01	mailbox	mailbox, letter box
638	n03710637	maillot.n.02	maillot (tights)	maillot
639	n03710721	maillot.n.01	maillot (swimsuit)	maillot, tank suit
640	n03717622	manhole_cover.n.01	manhole cover	manhole cover
641	n03720891	maraca.n.01	maraca	maraca
642	n03721384	marimba.n.01	marimba	marimba, xylophone
643	n03724870	mask.n.01	mask	mask
644	n03729826	matchstick.n.01	matchstick	matchstick
645	n03733131	maypole.n.01	maypole	maypole
646	n03733281	maze.n.01	maze	maze, labyrinth
647	n03733805	measuring_cup.n.01	measuring cup	measuring cup
648	n03742115	medicine_chest.n.01	medicine chest	medicine chest, medicine cabinet
649	n03743016	megalith.n.01	megalith	megalith, megalithic structure
650	n03759954	microphone.n.01	microphone	microphone, mike
651	n03761084	microwave.n.02	microwave	microwave, microwave oven
652	n03763968	military_uniform.n.01	military uniform	military uniform
653	n03764736	milk_can.n.01	milk can	milk can
654	n03769881	minibus.n.01	minibus	minibus
655	n03770439	miniskirt.n.01	miniskirt	miniskirt, mini
656	n03770679	minivan.n.01	minivan	minivan
657	n03773504	missile.n.01	missile	missile
658	n03775071	mitten.n.01	mitten	mitten
659	n03775546	mixing_bowl.n.01	mixing bowl	mixing bowl
660	n03776460	mobile_home.n.01	mobile home	mobile home, manufactured home
661	n03777568	model_t.n.01	Model T	Model T
662	n03777754	modem.n.01	modem	modem
663	n03781244	monastery.n.01	monastery	monastery
664	n03782006	monitor.n.05	monitor	monitor
665	n03785016	moped.n.01	moped	moped
666	n03786901	mortar.n.03	mortar	mortar
667	n03787032	mortarboard.n.02	mortarboard	mortarboard
668	n03788195	mosque.n.01	mosque	mosque
669	n03788365	mosquito_net.n.01	mosquito net	mosquito net
670	n03791053	motor_scooter.n.01	motor scooter	motor scooter, scooter
671	n03792782	mountain_bike.n.01	mountain bike	mountain bike, all-terrain bike, off-roader
672	n03792972	mountain_tent.n.01	mountain tent	mountain tent
673	n03793489	mouse.n.04	mouse	mouse, computer mouse
674	n03794056	mousetrap.n.01	mousetrap	mousetrap
675	n03796401	moving_van.n.01	moving van	moving van
676	n03803284	muzzle.n.03	muzzle	muzzle
677	n03804744	nail.n.02	nail	nail
678	n03814639	neck_brace.n.01	neck brace	neck brace
679	n03814906	necklace.n.01	necklace	necklace
680	n03825788	nipple.n.02	nipple	nipple
681	n03832673	notebook.n.02	notebook	notebook, notebook computer
682	n03837869	obelisk.n.01	obelisk	obelisk
683	n03838899	oboe.n.01	oboe	oboe, hautboy, hautbois
684	n03840681	ocarina.n.01	ocarina	ocarina, sweet potato
685	n03841143	odometer.n.01	odometer	odometer, hodometer, mileometer, milometer
686	n03843555	oil_filter.n.01	oil filter	oil filter
687	n03854065	organ.n.05	organ	organ, pipe organ
688	n03857828	oscilloscope.n.01	oscilloscope	oscilloscope, scope, cathode-ray oscilloscope, CRO
689	n03866082	overskirt.n.01	overskirt	overskirt
690	n03868242	oxcart.n.01	oxcart	oxcart
691	n03868863	oxygen_mask.n.01	oxygen mask	oxygen mask
692	n03871628	packet.n.03	packet	packet
693	n03873416	paddle.n.04	paddle	paddle, boat paddle
694	n03874293	paddlewheel.n.01	paddlewheel	paddlewheel, paddle wheel
695	n03874599	padlock.n.01	padlock	padlock
696	n03876231	paintbrush.n.01	paintbrush	paintbrush
697	n03877472	pajama.n.02	pajama	pajama, pyjama, pj's, jammies
698	n03877845	palace.n.04	palace	palace
699	n03884397	panpipe.n.01	panpipe	panpipe, pandean pipe, syrinx
700	n03887697	paper_towel.n.01	paper towel	paper towel
701	n03888257	parachute.n.01	parachute	parachute, chute
702	n03888605	parallel_bars.n.01	parallel bars	parallel bars, bars
703	n03891251	park_bench.n.01	park bench	park bench
704	n03891332	parking_meter.n.01	parking meter	parking meter
705	n03895866	passenger_car.n.01	passenger car	passenger car, coach, carriage
706	n03899768	patio.n.01	patio	patio, terrace
707	n03902125	pay-phone.n.01	pay-phone	pay-phone, pay-station
708	n03903868	pedestal.n.03	pedestal	pedestal, plinth, footstall
709	n03908618	pencil_box.n.01	pencil box	pencil box, pencil case
710	n03908714	pencil_sharpener.n.01	pencil sharpener	pencil sharpener
711	n03916031	perfume.n.02	perfume	perfume, essence
712	n03920288	petri_dish.n.01	Petri dish	Petri dish
713	n03924679	photocopier.n.01	photocopier	photocopier
714	n03929660	pick.n.05	pick	pick, plectrum, plectron
715	n03929855	pickelhaube.n.01	pickelhaube	pickelhaube
716	n03930313	picket_fence.n.01	picket fence	picket fence, paling
717	n03930630	pickup.n.01	pickup	pickup, pickup truck
718	n03933933	pier.n.03	pier	pier
719	n03935335	piggy_bank.n.01	piggy bank	piggy bank, penny bank
720	n03937543	pill_bottle.n.01	pill bottle	pill bottle
721	n03938244	pillow.n.01	pillow	pillow
722	n03942813	ping-pong_ball.n.01	ping-pong ball	ping-pong ball
723	n03944341	pinwheel.n.02	pinwheel	pinwheel
724	n03947888	pirate.n.03	pirate	pirate, pirate ship
725	n03950228	pitcher.n.02	pitcher	pitcher, ewer
726	n03954731	plane.n.05	plane	plane, carpenter's plane, woodworking plane
727	n03956157	planetarium.n.01	planetarium	planetarium
728	n03958227	plastic_bag.n.01	plastic bag	plastic bag
729	n03961711	plate_rack.n.01	plate rack	plate rack
730	n03967562	plow.n.01	plow	plow, plough
731	n03970156	plunger.n.03	plunger	plunger, plumber's helper
732	n03976467	polaroid_camera.n.01	Polaroid camera	Polaroid camera, Polaroid Land camera
733	n03976657	pole.n.01	pole	pole
734	n03977966	police_van.n.01	police van	police van, police wagon, paddy wagon, patrol wagon, wagon, black Maria
735	n03980874	poncho.n.01	poncho	poncho
736	n03982430	pool_table.n.01	pool table	pool table, billiard table, snooker table
737	n03983396	pop_bottle.n.01	pop bottle	pop bottle, soda bottle
738	n03991062	pot.n.04	pot	pot, flowerpot
739	n03992509	potter's_wheel.n.01	potter's wheel	potter's wheel
740	n03995372	power_drill.n.01	power drill	power drill
741	n03998194	prayer_rug.n.01	prayer rug	prayer rug, prayer mat
742	n04004767	printer.n.02	printer	printer
743	n04005630	prison.n.01	prison	prison, prison house
744	n04008634	projectile.n.01	projectile	projectile, missile
745	n04009552	projector.n.02	projector	projector
746	n04019541	puck.n.02	puck	puck, hockey puck
747	n04023962	punching_bag.n.02	punching bag	punching bag, punch bag, punching ball, punchball
748	n04026417	purse.n.03	purse	purse
749	n04033901	quill.n.01	quill	quill, quill pen
750	n04033995	quilt.n.01	quilt	quilt, comforter, comfort, puff
751	n04037443	racer.n.02	racer	racer, race car, racing car
752	n04039381	racket.n.04	racket	racket, racquet
753	n04040759	radiator.n.03	radiator	radiator
754	n04041544	radio.n.03	radio	radio, wireless
755	n04044716	radio_telescope.n.01	radio telescope	radio telescope, radio reflector
756	n04049303	rain_barrel.n.01	rain barrel	rain barrel
757	n04065272	recreational_vehicle.n.01	recreational vehicle	recreational vehicle, RV, R.V.
758	n04067472	reel.n.03	reel	reel
759	n04069434	reflex_camera.n.01	reflex camera	reflex camera
760	n04070727	refrigerator.n.01	refrigerator	refrigerator, icebox
761	n04074963	remote_control.n.01	remote control	remote control, remote
762	n04081281	restaurant.n.01	restaurant	restaurant, eating house, eating place, eatery
763	n04086273	revolver.n.01	revolver	revolver, six-gun, six-shooter
764	n04090263	rifle.n.01	rifle	rifle
765	n04099969	rocking_chair.n.01	rocking chair	rocking chair, rocker
766	n04111531	rotisserie.n.01	rotisserie	rotisserie
767	n04116512	rubber_eraser.n.01	rubber eraser	rubber eraser, rubber, pencil eraser
768	n04118538	rugby_ball.n.01	rugby ball	rugby ball
769	n04118776	rule.n.12	rule	rule, ruler
770	n04120489	running_shoe.n.01	running shoe	running shoe
771	n04125021	safe.n.01	safe	safe
772	n04127249	safety_pin.n.01	safety pin	safety pin
773	n04131690	saltshaker.n.01	saltshaker	saltshaker, salt shaker
774	n04133789	sandal.n.01	sandal	sandal
775	n04136333	sarong.n.01	sarong	sarong
776	n04141076	sax.n.02	sax	sax, saxophone
777	n04141327	scabbard.n.01	scabbard	scabbard
778	n04141975	scale.n.07	scale	scale, weighing machine
779	n04146614	school_bus.n.01	school bus	school bus
780	n04147183	schooner.n.02	schooner	schooner
781	n04149813	scoreboard.n.01	scoreboard	scoreboard
782	n04152593	screen.n.03	screen	screen, CRT screen
783	n04153751	screw.n.04	screw	screw
784	n04154565	screwdriver.n.01	screwdriver	screwdriver
785	n04162706	seat_belt.n.01	seat belt	seat belt, seatbelt
786	n04179913	sewing_machine.n.01	sewing machine	sewing machine
787	n04192698	shield.n.02	shield	shield, buckler
788	n04200800	shoe_shop.n.01	shoe shop	shoe shop, shoe-shop, shoe store
789	n04201297	shoji.n.01	shoji	shoji
790	n04204238	shopping_basket.n.01	shopping basket	shopping basket
791	n04204347	shopping_cart.n.01	shopping cart	shopping cart
792	n04208210	shovel.n.01	shovel	shovel
793	n04209133	shower_cap.n.01	shower cap	shower cap
794	n04209239	shower_curtain.n.01	shower curtain	shower curtain
795	n04228054	ski.n.01	ski	ski
796	n04229816	ski_mask.n.01	ski mask	ski mask
797	n04235860	sleeping_bag.n.01	sleeping bag	sleeping bag
798	n04238763	slide_rule.n.01	slide rule	slide rule, slipstick
799	n04239074	sliding_door.n.01	sliding door	sliding door
800	n04243546	slot.n.07	slot	slot, one-armed bandit
801	n04251144	snorkel.n.01	snorkel	snorkel
802	n04252077	snowmobile.n.01	snowmobile	snowmobile
803	n04252225	snowplow.n.01	snowplow	snowplow, snowplough
804	n04254120	soap_dispenser.n.01	soap dispenser	soap dispenser
805	n04254680	soccer_ball.n.01	soccer ball	soccer ball
806	n04254777	sock.n.01	sock	sock
807	n04258138	solar_dish.n.01	solar dish	solar dish, solar collector, solar furnace
808	n04259630	sombrero.n.02	sombrero	sombrero
809	n04263257	soup_bowl.n.01	soup bowl	soup bowl
810	n04264628	space_bar.n.01	space bar	space bar
811	n04265275	space_heater.n.01	space heater	space heater
812	n04266014	space_shuttle.n.01	space shuttle	space shuttle
813	n04270147	spatula.n.01	spatula	spatula
814	n04273569	speedboat.n.01	speedboat	speedboat
815	n04275548	spider_web.n.01	spider web	spider web, spider's web
816	n04277352	spindle.n.04	spindle	spindle
817	n04285008	sports_car.n.01	sports car	sports car, sport car
818	n04286575	spotlight.n.02	spotlight	spotlight, spot
819	n04296562	stage.n.03	stage	stage
820	n04310018	steam_locomotive.n.01	steam locomotive	steam locomotive
821	n04311004	steel_arch_bridge.n.01	steel arch bridge	steel arch bridge
822	n04311174	steel_drum.n.01	steel drum	steel drum
823	n04317175	stethoscope.n.01	stethoscope	stethoscope
824	n04325704	stole.n.01	stole	stole
825	n04326547	stone_wall.n.01	stone wall	stone wall
826	n04328186	stopwatch.n.01	stopwatch	stopwatch, stop watch
827	n04330267	stove.n.02	stove	stove
828	n04332243	strainer.n.01	strainer	strainer
829	n04335435	streetcar.n.01	streetcar	streetcar, tram, tramcar, trolley, trolley car
830	n04336792	stretcher.n.03	stretcher	stretcher
831	n04344873	studio_couch.n.01	studio couch	studio couch, day bed
832	n04346328	stupa.n.01	stupa	stupa, tope
833	n04347754	submarine.n.01	submarine	submarine, pigboat, sub, U-boat
834	n04350905	suit.n.01	suit	suit, suit of clothes
835	n04355338	sundial.n.01	sundial	sundial
836	n04355933	sunglass.n.01	sunglass	sunglass
837	n04356056	sunglasses.n.01	sunglasses	sunglasses, dark glasses, shades
838	n04357314	sunscreen.n.01	sunscreen	sunscreen, sunblock, sun blocker
839	n04366367	suspension_bridge.n.01	suspension bridge	suspension bridge
840	n04367480	swab.n.02	swab	swab, swob, mop
841	n04370456	sweatshirt.n.01	sweatshirt	sweatshirt
842	n04371430	swimming_trunks.n.01	swimming trunks	swimming trunks, bathing trunks
843	n04371774	swing.n.02	swing	swing
844	n04372370	switch.n.01	switch	switch, electric switch, electrical switch
845	n04376876	syringe.n.01	syringe	syringe
846	n04380533	table_lamp.n.01	table lamp	table lamp
847	n04389033	tank.n.01	tank	tank, army tank, armored combat vehicle, armoured combat vehicle
848	n04392985	tape_player.n.01	tape player	tape player
849	n04398044	teapot.n.01	teapot	teapot
850	n04399382	teddy.n.01	teddy	teddy, teddy bear
851	n04404412	television.n.02	television	television, television system
852	n04409515	tennis_ball.n.01	tennis ball	tennis ball
853	n04417672	thatch.n.04	thatch	thatch, thatched roof
854	n04418357	theater_curtain.n.01	theater curtain	theater curtain, theatre curtain
855	n04423845	thimble.n.02	thimble	thimble
856	n04428191	thresher.n.01	thresher	thresher, thrasher, threshing machine
857	n04429376	throne.n.01	throne	throne
858	n04435653	tile_roof.n.01	tile roof	tile roof
859	n04442312	toaster.n.02	toaster	toaster
860	n04443257	tobacco_shop.n.01	tobacco shop	tobacco shop, tobacconist shop, tobacconist
